PNS index,SNS index,Stress index,Mean RR  (ms),SDNN (ms),Mean HR (beats/min),SD HR (beats/min),Min HR (beats/min),Max HR (beats/min),RMSSD (ms),NNxx (beats),pNNxx (%),RR tri index,TINN (ms),DC (ms),DCmod (ms),AC (ms),ACmod (ms),VLF (Hz),LF (Hz),HF (Hz),VLF (ms^2),LF (ms^2),HF (ms^2),VLF (log),LF (log),HF (log),VLF (%),LF (%),HF (%),LF (n.u.),HF (n.u.),Total power (ms^2),LF/HF ratio,RESP (Hz),SD1 (ms),SD2 (ms),SD2/SD1 ratio,Approximate entropy (ApEn),Sample entropy (SampEn),alpha 1,alpha 2,Correlation dimension (D2),Mean line length (beats),Max line length (beats),Recurrence rate (REC) (%),Determinism (DET) (%),Shannon entropy,MSE(1),MSE(2),VLF (Hz) AR spectrum,LF (Hz) AR spectrum,HF (Hz) AR spectrum,VLF (ms^2) AR spectrum,LF (ms^2) AR spectrum,HF (ms^2) AR spectrum,VLF (log) AR spectrum,LF (log) AR spectrum,HF (log) AR spectrum,VLF (%) AR spectrum,LF (%) AR spectrum,HF (%) AR spectrum,LF (n.u.) AR spectrum,HF (n.u.) AR spectrum
-834,2.1903,21.3567,803.7135,14.8022,74.6535,1.3814,71.7338,78.9007,21.9282,8,2.1448,4.065217,68,5.8032,22.0532,-5.8415,-21.9476,0.036667,0.05,0.293333,7.2487,49.3962,49.4014,1.9808,3.8999,3.9,6.7962,46.3128,46.3177,49.6899,49.6951,106.6577,0.9999,0.475186,15.526452,14.071433,0.906288,1.1453,1.9668,0.6533,0.4261,0.0003,5.27,29,11106,90.7543,2.3115,1.9668,1.9598,0.04,0.073333,0.336667,14.6071,48.3757,45.5848,2.6815,3879,3.8196,13.4249,44.4607,41.8957,51.3551,48.3923
2.2116,-0.8559,10.1112,1077.9972,51.9581,55.6588,2.7047,53.0524,59.7607,86383,159,57.1942,7.971429,190,34.7137,90.5874,-21.5275,-82.9453,0.03,0.13,0.286667,15.4747,170.3464,1548.6349,2.7392,5.1378,7.3451,0.8903,9.8001,89.0935,9.8881,89.8938,1738.2138,0.11,0.272235,61.192763,40.526936,0.662283,1.0406,1.4974,0.2881,0.1115,4184,5.1044,28,13.5583,92.9583,2.2587,1.4974,1.4445,0.04,0.15,0.273333,17.4689,218.5291,1491.4731,2.8604,5.3869,7.3075,1.0067,12594,85.9549,12.7221,86829
1.5509,-0.7457,8.7156,999.6326,48.8085,60.0221,2.9496,51.7607,71.6836,76.6013,135,54.6559,13.052632,231,23.2378,73.0052,-30.6247,-84053,0.036667,0.06,0.253333,46038,283.0703,1211.1844,3.8295,5.6457,7.0994,2984,18.3476,78.5045,18.9119,80.9191,1542.8216,0.2337,0.290247,54.275683,42.531428,0.783618,0.9969,1969,0.3937,0.2288,4.9046,5.1853,31,11.7365,92.6611,2.2799,1969,1.8122,0.04,0.15,0.316667,62788,267.1807,1192.1385,4.1398,5.5879,7.0835,4.1153,17.5117,78.1357,18.2633,81.4893
0.3374,0.1964,16.2154,1096.7636,14723,54.7064,0.7383,53204,57.2974,19.3435,4,1.4706,5.055556,88,15.9077,23.1993,-13.9105,-20.3401,0.036667,0.066667,0.23,13.9481,44.8248,102164,2.6353,3.8028,4.6266,8.6666,27.8518,63.4793,30.4946,69.5028,160.9406,0.4388,0.251464,13.703234,15.663633,1.143061,1.0186,1.7791,0.5406,0.1697,0.0126,7.7146,58,18.9681,95.7035,2.7718,1.7791,2087,0.003333,0.04,0.236667,22.6941,41.4555,122.8736,3.1221,3.7246,4.8112,12.1245,22148,65.6462,25.2038,74.7037
0.4525,0.0935,10339,894.8652,46821,67.0492,3.5709,64.2073,70.3538,58.3488,95,28.4431,10.46875,188,72.4258,88.2039,-45.4365,-51.9594,0.04,0.143333,0.18,4.3316,388.4475,1435.5587,1.4659,5.9622,7.2693,0.2364,21.1979,78.3397,21.2481,78.5253,1832.4798,0.2706,0.198967,41.32171,51.601174,1.248767,1.0554,1.3965,0.5955,0.0766,2.6366,6.7998,41,15.8493,95.9986,2.6435,1.3965,1.4323,0.04,0.15,0.183333,18.3364,242774,1518.2678,2.9089,5.4921,7.3253,1.0295,13631,85.2462,13.7728,86133
1.3604,-0.4792,10.0764,978.5761,44.3976,61.3136,2.7827,58.3919,65536,72.0203,148,48366,10.964286,196,21.7697,72.4125,-14.9823,-66.3044,0.033333,0.076667,0.3,58.2581,226.8965,982.6354,4.0649,5.4245,6.8902,4.5938,17.8914,77.4836,18.7529,81.2144,1268.1856,0.2309,0.401041,51.00958,36.730951,0.720079,1.0973,1.8379,0.4409,0.3042,4.9332,4.8984,26,10.8621,91.0015,2.1918,1.8379,1714,0.003333,0.04,0.32,94.8323,180.1731,883.6345,4.5521,5.1939,6784,8.1642,15.5113,76073,16.8902,82.8359
5.3244,-2.2735,3.6954,1233.1332,108.4236,48.6565,4.4572,44622,52.4366,177.7856,199,82.2314,20.25,507,54.9784,177.7785,-52.0657,-174.9219,0.026667,0.13,0.306667,56.1252,1685.1105,7482.9955,4.0276,7.4296,8.9204,0.6082,18.2619,81.0949,18.3737,81.5911,9227.4578,0.2252,0.297876,125.973969,87.969575,0.698316,1.0182,2.0996,0.3356,0.0846,0.0934,5.3494,30,13.2113,92.2864,2.3228,2.0996,1.3725,0.04,0.15,0.303333,131.6033,1524.8217,7082.6041,4.8798,7.3296,8.8654,1.5044,17.4311,80.9651,17.6973,82.2018
0.4642,0.0058,10.7365,904.8433,35.7863,66.3098,2.6605,63.1644,69.8182,53.2866,80,24.2424,10.34375,192,39.4256,55.8479,-45.8368,-69.4549,0.04,0.066667,0.26,9.5866,103.5679,804.4581,2.2604,4.6402,6.6902,1.0445,11.2846,87.6522,11.4037,88.5774,917.7848,0.1287,0.253514,37.736526,33.783812,0.895255,0.9625,1.3791,0.4031,0.2432,2.4752,13.8482,156,24.8852,97.5738,3385,1.3791,1.4986,0.003333,0.04,0.26,44.0624,79343,775.1033,3.7856,4.3738,6653,4.9015,8.8261,86.2224,9281,90.6664
2.0024,-0.6688,9.8201,1004.6157,52.7498,59.7243,3.0476,55.4963,68335,89.8571,151,50.8418,9.3125,186,28.1339,90.5083,-28.6543,-93.9055,0.026667,0.09,0.35,39.1126,131.8876,1954.7078,3.6664,4882,7578,1837,6.1944,91.8077,6.3104,93.5258,2129.133,0.0675,0.358253,63.646409,38.798104,0.609588,1156,1.4044,0.3375,0.3438,3.1749,7.0441,37,18.1583,94.8437,2.6895,1.4044,1.4832,0.003333,0.04,0.363333,83.1202,176.7683,1720.8362,4.4203,5.1748,7.4506,4.1792,8.8877,86.5218,9.2754,90.2954
-1.4129,6.1358,43.3736,712.6645,6766,84.1911,0.8002,83.1169,84.9793,11.5979,0,0,1.846491,30,3507,12.3296,-3.6109,-12.5454,0.04,0.04,0.396667,0.7703,2.0065,10.6566,0,0.6964,2.3662,5.6133,14.6222,77.6582,15.4918,82.2766,13.7224,0.1883,0.489691,8.210766,4.917065,0.598856,0.8325,0.8231,0.2429,337,0,5.3064,37,10.9376,91.8022,2.3196,0.8231,0.7552,0.003333,0.04,0.4,0.7074,1.4714,8.8994,0,0.3862,2186,6.3413,13.1901,79.7781,14.0832,85.1797
-2.0113,4.1329,26276,680.0377,12.7397,88.2304,1.6598,84.5466,95.8203,9.7965,0,0,3.981982,70,4.1616,10.1762,-3.9365,-10.3551,0.033333,0.056667,0.15,40.67,162971,16.4051,3.7055,5.0936,2.7976,18.4806,74.0545,7.4545,90.8428,9.1445,220.0689,9.9342,0.328214,6.935043,16.645158,2.400152,1.1484,1.3724,1.3481,0.7284,0.0214,10.8989,208,34.0255,97655,3.2038,1.3724,1.7282,0.04,0.07,0.15,23.3881,101.4965,15.4405,3.1522,4.62,2737,16.6627,72.3106,11.0005,86.7686,13.2
-0.72,3.3366,31.7867,930.7549,11.3453,64.4638,0.7853,62.5344,66.2217,11.6407,0,0,3.2,41,5.6026,13.1539,-5.8677,-11.8125,0.04,0.053333,0.303333,24.0516,102.7064,48.1071,3.1802,4.6319,3.8734,13.7445,58.6923,27.4911,68.0446,31.8717,174.9914,2135,0.420118,8.324491,13.772497,1.654455,1.078671533,1.686693431,0.757456204,0.341210949,1.348611679,7.40590438,60.40145985,19.49636277,94.61413504,2.65539781,1.686693431,1.628517518,0.04,0.06,0.256667,17.3077,60.0956,28.2586,2.8511,4.0959,3.3414,16363,56.8154,26.7161,67931,31.9429
-1.2047,2.8608,19.1949,665.1211,20.3221,90.2091,2.7559,80.5876,95.8801,31.3079,54,12,5125,115,8.9246,31.5192,-8.7296,-30711,0.04,0.066667,0.293333,12.5948,70.0466,76.4931,2.5333,4.2492,4.3372,7.8731,43.7868,47.8165,47.5288,51.9029,159.9721,0.9157,0.448684,22.162734,18.323684,0.826779,1.2796,2.0257,399,607,0.1316,5.7333,43,15.0662,92.7567,2.4196,2.0257,1.7474,0.003333,0.04,0.39,31.4825,45.5301,86.4992,3.4494,3.8184,4.4601,19.1782,27.7357,52.6929,34.3171,65.1965
