PNS index,SNS index,Stress index,Mean RR  (ms),SDNN (ms),Mean HR (beats/min),SD HR (beats/min),Min HR (beats/min),Max HR (beats/min),RMSSD (ms),NNxx (beats),pNNxx (%),RR tri index,TINN (ms),DC (ms),DCmod (ms),AC (ms),ACmod (ms),VLF (Hz),LF (Hz),HF (Hz),VLF (ms^2),LF (ms^2),HF (ms^2),VLF (log),LF (log),HF (log),VLF (%),LF (%),HF (%),LF (n.u.),HF (n.u.),Total power (ms^2),LF/HF ratio,RESP (Hz),SD1 (ms),SD2 (ms),SD2/SD1 ratio,Approximate entropy (ApEn),Sample entropy (SampEn),alpha 1,alpha 2,Correlation dimension (D2),Mean line length (beats),Max line length (beats),Recurrence rate (REC) (%),Determinism (DET) (%),Shannon entropy,MSE(1),MSE(2),VLF (Hz) AR spectrum,LF (Hz) AR spectrum,HF (Hz) AR spectrum,VLF (ms^2) AR spectrum,LF (ms^2) AR spectrum,HF (ms^2) AR spectrum,VLF (log) AR spectrum,LF (log) AR spectrum,HF (log) AR spectrum,VLF (%) AR spectrum,LF (%) AR spectrum,HF (%) AR spectrum,LF (n.u.) AR spectrum,HF (n.u.) AR spectrum
0.309043233,0.018298345,0.000506149,0.458310782,0.000187995,0.000278354,0.000530242,0.000202262,1,0.000135392,0.029900332,4.77219E-05,0.000371405,0.136268344,0.002281607,0.000130322,0.998912248,0.999866268,0.75001875,0,0.189190285,0.001597251,0.000698742,0.001164408,0.00113553,0.000830967,0.000329781,0.007700577,0.587853765,0.386246133,0.000712762,0.511716397,1,0.000391205,0,0.069626267,0.231369997,0.479167949,0.000569141,0.000333472,0.001943334,0.000659227,3.84321E-05,0.00050377,0.233160622,0.000403006,8.90789E-05,0.840376433,0.000333472,0.000615747,1,0.363636364,0,0.000907496,0.000692419,0.003773501,1,0.001223917,0.705488611,0.000953252,0.000891067,0.00030925,0.000749549,0.476673601
0.309452466,0.010717222,0.00020922,0.520730652,0.000806977,0.000236829,0.001687363,0.000129238,0.000232394,0.000529988,0.079734219,0.00047849,0.001074455,0.394129979,0.004712664,0.00044976,0.997483503,0.999490017,0,0.32257846,0.094593115,0.000948393,0.007880265,0.007311232,1,0.001324052,0.000562844,0.000633696,1,0.336866621,0.000983038,0.327678734,0.006482944,0.795310512,0.247178551,0.274152247,0.624239472,0.408831442,0,0.000395626,0.002133154,0.000311242,0.000845793,0,0,6.57843E-05,0,0,0.000395626,0.000841224,1,0.454545455,0,0.002734491,0.004429142,0.022085438,0.001269988,0.001700479,0.000473829,0.000490252,0.001054127,0.00030896,0.912430751,0.000284793
0.309213422,0.011806907,0.000307758,0.690265875,0.000417786,0.000138609,0.000695356,4.97863E-05,0.000276262,0.000134757,0.013289037,2.10611E-05,1,0.268343816,0.001920871,0.000108503,0.998389625,0.999850103,0.75001875,0.129029448,0.229730771,0.009539132,0.004380504,0.001281353,0.00160427,0.001204002,0.000341424,0.011282395,0.000795351,0.040376759,0.001335073,0.086382821,0.004011443,0.002341329,0.268886668,0.069300415,0.434780598,1,0.000599688,0.000406472,0.002894691,0.000797135,0.000158126,0.001365482,0.652849741,0.000908293,0.000115519,0.000407543,0.000406472,0.000391325,1,0.090909091,0.333332,0.004009523,0.002065469,0.003626959,0.001364044,0.001504197,0.000217219,0.001709425,0.001082872,2.98625E-05,0.001084466,6.3197E-05
1,0.010925608,0.000278925,0.504082905,0.000912273,0.000247589,0.001940294,0.000198449,0.000231193,0.000974827,0.704318937,1,0.000523989,0.274633124,0.00310157,1,0.996963281,0.999009322,0.499962499,0.193549011,0.405404858,0.000428988,0.00047444,0.013081441,0.000796363,0.000753323,0.000638811,0.000395507,0.088834763,1,0,1,0.004482911,0,0.685519643,0.500969464,0.388033282,0,0.000618986,0.000225308,0.000199098,0.000126869,0.000983939,2.49508E-05,0.03626943,7.15881E-05,5.39883E-05,5.48041E-05,0.000225308,0.000204338,1,1,0.84,0.00042762,0.439026315,0.038028361,0.000817805,0.001104183,0.000553142,7.13361E-05,2.19879E-05,0.001025285,1.44678E-05,0.000895726
0.308749388,0.031550928,0.000930714,0.222982487,1.44308E-05,0.00046998,0.000365884,0.000429205,0.00044503,4.67471E-05,0,0,0.000292298,0.064989518,0.000407156,5.28046E-05,0.99954616,0.999944301,1,0.032254943,0.527026315,0.000227446,0.00020858,0.000146559,0.000637744,0.000591461,0.000115832,0.005086898,0.000701089,0.323720265,1,0.380412208,0.000184969,0.000630369,0.582884751,0.024026023,0.107984732,0.400961235,0.000645465,0.000361774,0.001871619,0.001007211,7.64818E-07,1,0.227979275,0.000263393,6.43893E-05,0.000168905,0.000361774,0.000420948,0,0,0.84,0.537693078,0.000165582,1,0.000867891,0.000862061,1.54408E-05,0.001903252,0.000694692,0.000223882,0.000748869,0.000323782
0.309491806,0.013868516,0.000422536,0.585544434,0.000466545,1,0.00088989,7.76171E-05,0.000158057,0.00044434,0.043189369,0.000373821,0.000803708,0.167714885,0.00210318,0.000423989,0.999422734,0.999592603,1,0.064519563,0.824321859,0.001169751,0.001116642,0.001469959,0.001054402,0.000925675,0.000358267,0.00449858,0.747112384,0.383029695,0.000817991,0.439472618,0.0012065,0.000508304,0.314636302,0.230732466,0.32418954,0.171476108,0.000587462,0.000435679,0.00139558,0.000435987,0.000322326,0.000389525,0.235240725,0.000275942,7.20316E-05,0.000181645,0.000435679,0.000418607,0,0.666663636,0,0.001659243,0.001561493,0.005455678,0.001147448,0.001432316,0.00027357,0.000916551,0.001090215,0.000195272,0.000905645,0.354380193
0.308572822,0.034657181,0.000875903,0.043776654,1.35293E-05,0.000668517,1,0.000444637,0.000652878,4.96033E-05,0,0,0.000248681,0.090146751,0.000735175,5.69781E-05,0,0.999951533,0.24998125,0.032254943,0.945943316,0.000446721,0.000287792,0.000179392,0.000806642,0.000654231,0.000132068,0.00712466,0.000699608,0.254216679,0.000980369,0.329288352,0.000267247,0.000762831,0.397082096,0.025478632,0.105773203,0.380896009,0.000635168,0.000284082,0.001795892,0.001121888,1.36233E-06,0.000730981,0.455958549,1,8.94407E-05,0.893584288,0.000284082,0.000381163,1,0,0,0.00038777,0.000179046,0.000598431,0.000794353,0.000881526,0,0.001522657,1,0.000215945,0.000811896,0.000274396
0.309207564,0.022226202,0.000307453,0,0.000745092,0.000726795,0.003854319,0.000608748,0.00068775,0.000753927,1,0.000974199,0.000967178,0.301886792,0.007547108,0.000738655,0.996199202,0.99922451,1,0.129029448,0.918919028,0.000379565,0.000341002,0.008249428,0.000765393,0.000687685,0.000578565,0.00056355,0.098205783,0.96171375,1.05685E-05,0.966463361,0.002929068,4.02821E-06,0.682594231,0.387232879,0.400761867,0.075743922,0.000747577,0.000375244,0,0.000411914,0.001118093,0.000113307,0.113989637,2.43655E-05,5.28865E-05,9.97352E-05,0.000375244,0.000125872,0,0,0.933332,0.000334271,0.000215987,0.021645972,0.000758841,0.00092845,0.000470909,0.000120157,0,0.001018877,0,0.000898566
0.309446237,1,0.000507127,0.839230901,0.334282635,6.64372E-05,7.3706E-05,0,5.13588E-05,0.000128039,0.013289037,2.28285E-05,0.000412083,0.115303983,0.000672883,0.000110598,0.999409971,0.999868272,1,0,0.581078944,0.000513975,0.000394439,0.001004738,0.000842356,0.859054044,0.000312027,0.00392578,0.000425956,0.56072181,0.000535834,0.631504365,0.000595893,0.00024647,0.449323661,0.065866925,0.137229712,0.254747405,0.000568795,0.000720622,0.001549151,0.000397249,2.50956E-06,8.84009E-05,0.093264249,9.58129E-05,4.67697E-05,8.31816E-05,0.000720622,0.000465669,1,0.181818182,0.546668,0.000511707,0.000298325,0.002906345,0.000861036,0.001009768,0.00018734,0.000934935,0.000630432,0.000471776,0.000533346,0.000493204
0.405265109,0.020581364,0.942639216,0.709406761,2.75157E-06,0.000128671,0,7.14952E-05,9.73163E-05,9.38138E-05,0.006644518,1.06419E-05,0.000223571,0.05870021,0.000192986,8.25447E-05,0.999818981,0.793133059,0.24998125,0.35484308,0.878378543,0.000161693,0.000242677,0.000429463,0.000555061,0.76338288,0.000215494,0.00255104,0.000544213,0.521957362,0.000643156,0.556375953,0.000284127,0.000329377,0.430610265,0.048257063,0.062961059,0.112983393,0.000560401,1,0.000982951,0.00035474,1.19503E-07,0.000421674,0.274611399,0.000344533,6.99178E-05,0.000196751,1,0.000488533,1,0.303027273,0.88,0.000122776,0.000108287,0.001780967,0.000525327,0.000757332,0.000123645,0.000464888,0.000452281,0.00068027,0.000345617,0.000638787
